M;2019.03.31;1;krumplifej@citromail.hu
T;1;BG01;8
T;1;N003;9
T;1;K002;1
M;2019.03.31;2;kisspal@citromail.hu
T;2;N006;5
T;2;P013;10
T;2;N008;4
T;2;P009;6
T;2;BG01;6
T;2;N007;7
T;2;P008;7
M;2019.03.31;3;szputnyik@fidesz.gov
T;3;S004;3
T;3;S002;2
M;2019.03.31;4;kovacs7@merchant.org
T;4;K002;5
T;4;P009;2
M;2019.03.31;5;eva2001@fidesz.gov
T;5;P012;10
T;5;P001;3
T;5;N003;7
T;5;P006;3
M;2019.03.31;6;nagyatilla@fidesz.gov
T;6;P006;4
T;6;P001;9
T;6;P014;9
T;6;N007;6
T;6;N004;5
M;2019.03.31;7;zoltantoth@fidesz.gov
T;7;S002;10
T;7;S004;6
T;7;BG04;9
T;7;S003;10
T;7;K004;10
T;7;P008;5
M;2019.03.31;8;kisspal@gmail.com
T;8;S001;10
T;8;N002;4
T;8;BG01;10
T;8;P003;9
T;8;N002;9
T;8;K003;6
M;2019.03.31;9;nagyatilla@freemail.hu
T;9;B002;8
T;9;P009;5
T;9;BG02;10
T;9;P004;7
T;9;K004;4
M;2019.03.31;10;krumplifej@merchant.org
T;10;N005;4
T;10;K001;7
T;10;P013;8
T;10;B001;1
M;2019.03.31;11;kovacs7@merchant.org
T;11;S001;3
T;11;N005;8
T;11;P012;7
T;11;P005;3
M;2019.03.31;12;zoltantoth@fidesz.gov
T;12;B001;5
T;12;P001;1
M;2019.03.31;13;kisspal@merchant.org
T;13;P005;1
M;2019.03.31;14;kovacs7@freemail.hu
T;14;S001;2
T;14;S002;2
M;2019.03.31;15;fagylaltos@gmail.com
T;15;BG03;9
T;15;N001;4
T;15;N003;3
M;2019.03.31;16;eva2001@merchant.org
T;16;N008;4
T;16;B001;6
T;16;K003;5
T;16;N004;2
M;2019.03.31;17;kovacs7@golden.com
T;17;P001;5
T;17;N003;9
T;17;N006;6
T;17;N008;7
T;17;P009;7
T;17;BG01;2
M;2019.03.31;18;kisspal@freemail.hu
T;18;K004;4
T;18;K004;1
M;2019.03.31;19;kisspal@merchant.org
T;19;BG01;4
T;19;BG04;1
M;2019.03.31;20;krumplifej@gmail.com
T;20;N004;2
T;20;N005;4
T;20;S002;1
M;2019.03.31;21;eva2001@merchant.org
T;21;N002;3
T;21;BG04;2
M;2019.03.31;22;szputnyik@golden.com
T;22;P001;10
T;22;BG02;10
T;22;N003;7
T;22;N002;6
T;22;P007;6
T;22;N005;5
M;2019.03.31;23;szputnyik@fidesz.gov
T;23;P003;8
T;23;N003;6
T;23;B003;10
T;23;N006;2
M;2019.03.31;24;zoltantoth@citromail.hu
T;24;S004;2
T;24;N005;4
T;24;S001;7
T;24;N008;6
T;24;B003;6
T;24;B002;2
M;2019.03.31;25;kisspal@golden.com
T;25;N001;9
T;25;P011;2
M;2019.03.31;26;kisspal@freemail.hu
T;26;B002;10
T;26;P006;1
M;2019.03.31;27;nagyatilla@fidesz.gov
T;27;P014;6
T;27;P005;6
T;27;BG01;9
T;27;K002;3
M;2019.03.31;28;eva2001@freemail.hu
T;28;P011;3
T;28;N002;10
T;28;S002;9
T;28;N008;10
T;28;P010;4
M;2019.03.31;29;eva2001@citromail.hu
T;29;P003;7
T;29;N005;5
T;29;P015;1
M;2019.03.31;30;majoros@fidesz.gov
T;30;B002;7
T;30;K003;7
T;30;S003;3
M;2019.03.31;31;majoros@freemail.hu
T;31;BG01;7
T;31;K001;8
T;31;B001;8
T;31;B003;3
M;2019.03.31;32;krumplifej@merchant.org
T;32;N002;7
T;32;B002;9
T;32;N003;5
T;32;P002;7
T;32;K001;4
M;2019.03.31;33;eva2001@merchant.org
T;33;S003;1
M;2019.03.31;34;kisspal@freemail.hu
T;34;P014;4
T;34;N001;5
T;34;N001;10
T;34;P011;8
T;34;BG03;5
M;2019.03.31;35;fagylaltos@fidesz.gov
T;35;P005;8
T;35;N005;4
T;35;N005;5
T;35;B002;4
M;2019.03.31;36;kovacs7@freemail.hu
T;36;P006;9
T;36;BG01;6
T;36;P004;9
T;36;P010;9
T;36;N006;9
T;36;S001;5
M;2019.03.31;37;nagyatilla@merchant.org
T;37;S004;6
T;37;S001;8
T;37;S002;3
M;2019.03.31;38;nagyatilla@freemail.hu
T;38;S003;4
T;38;B003;9
T;38;K002;7
T;38;P005;5
T;38;S004;4
M;2019.03.31;39;fagylaltos@gmail.com
T;39;P008;9
T;39;P015;4
T;39;BG04;8
T;39;BG04;3
M;2019.03.31;40;eva2001@golden.com
T;40;P008;6
T;40;BG03;6
T;40;P003;6
T;40;N004;1
M;2019.03.31;41;majoros@fidesz.gov
T;41;P012;1
M;2019.03.31;42;majoros@freemail.hu
T;42;P001;5
T;42;P013;1
M;2019.03.31;43;eva2001@fidesz.gov
T;43;S002;2
T;43;P008;1
M;2019.03.31;44;majoros@golden.com
T;44;B001;5
T;44;K001;4
T;44;N008;1
M;2019.03.31;45;szputnyik@citromail.hu
T;45;N003;5
T;45;P005;1
M;2019.03.31;46;nagyatilla@freemail.hu
T;46;P003;5
T;46;P010;3
T;46;B003;5
T;46;P014;3
M;2019.03.31;47;krumplifej@merchant.org
T;47;P010;4
T;47;N001;7
T;47;P007;6
T;47;P010;5
T;47;N003;5
M;2019.03.31;48;kovacs7@freemail.hu
T;48;N008;5
T;48;P011;4
T;48;S003;4
T;48;N002;3
M;2019.03.31;49;kisspal@citromail.hu
T;49;N001;3
T;49;P001;10
T;49;P012;1
M;2019.03.31;50;szputnyik@gmail.com
T;50;P010;6
T;50;B001;2
M;2019.03.31;51;kovacs7@golden.com
T;51;P002;1
M;2019.03.31;52;fagylaltos@freemail.hu
T;52;K004;4
T;52;P007;3
T;52;N003;1
M;2019.03.31;53;erikaszep@merchant.org
T;53;N004;6
T;53;P010;6
T;53;N002;9
T;53;S004;7
T;53;S002;9
T;53;N004;5
M;2019.03.31;54;majoros@citromail.hu
T;54;N006;3
T;54;K002;7
T;54;P005;5
T;54;N007;4
M;2019.03.31;55;eva2001@fidesz.gov
T;55;S004;7
T;55;N002;5
T;55;P011;7
T;55;N008;1
M;2019.03.31;56;zoltantoth@citromail.hu
T;56;P009;4
T;56;S002;2
M;2019.03.31;57;krumplifej@gmail.com
T;57;S003;3
T;57;N007;10
T;57;S002;4
T;57;N008;10
T;57;B002;5
M;2019.03.31;58;eva2001@freemail.hu
T;58;S002;5
T;58;P014;3
T;58;N006;10
T;58;N004;3
M;2019.03.31;59;kisspal@gmail.com
T;59;P012;9
T;59;S003;7
T;59;N002;3
M;2019.03.31;60;eva2001@merchant.org
T;60;P013;9
T;60;P005;7
T;60;P003;9
T;60;P011;4
M;2019.03.31;61;nagyatilla@gmail.com
T;61;S003;1
M;2019.03.31;62;krumplifej@merchant.org
T;62;B001;3
T;62;P004;8
T;62;N002;10
T;62;P006;7
T;62;K004;3
M;2019.03.31;63;nagyatilla@merchant.org
T;63;BG02;8
T;63;BG01;7
T;63;N008;6
T;63;P013;9
T;63;BG02;7
T;63;BG01;10
T;63;P007;9
T;63;S002;2
M;2019.03.31;64;kisspal@merchant.org
T;64;P005;2
T;64;BG01;3
T;64;P011;10
T;64;B002;5
T;64;P011;6
T;64;P014;10
T;64;P014;4
M;2019.03.31;65;fagylaltos@gmail.com
T;65;BG04;4
T;65;N004;6
T;65;P001;2
M;2019.03.31;66;nagyatilla@fidesz.gov
T;66;P001;8
T;66;K003;1
M;2019.03.31;67;eva2001@citromail.hu
T;67;N006;2
T;67;N002;8
T;67;N008;2
M;2019.03.31;68;nagyatilla@fidesz.gov
T;68;P010;4
T;68;N007;1
M;2019.03.31;69;kisspal@citromail.hu
T;69;P003;7
T;69;B002;4
T;69;P009;4
T;69;B002;1
M;2019.03.31;70;zoltantoth@freemail.hu
T;70;P015;3
T;70;P011;6
T;70;N007;2
M;2019.03.31;71;krumplifej@fidesz.gov
T;71;BG01;2
T;71;P012;1
M;2019.03.31;72;krumplifej@gmail.com
T;72;P013;8
T;72;P003;9
T;72;N001;7
T;72;N008;10
T;72;P012;6
T;72;P006;7
T;72;N005;10
T;72;P005;10
T;72;P007;1
M;2019.03.31;73;fagylaltos@fidesz.gov
T;73;S004;3
T;73;P007;9
T;73;P015;9
T;73;P001;8
T;73;S004;3
M;2019.03.31;74;erikaszep@citromail.hu
T;74;BG03;7
T;74;S002;7
T;74;P003;1
M;2019.03.31;75;szputnyik@gmail.com
T;75;B001;6
T;75;N003;9
T;75;P012;4
T;75;S004;2
M;2019.03.31;76;zoltantoth@merchant.org
T;76;P009;4
T;76;BG03;2
M;2019.03.31;77;fagylaltos@citromail.hu
T;77;P013;10
T;77;P002;2
M;2019.03.31;78;nagyatilla@golden.com
T;78;P014;8
T;78;P008;6
T;78;N005;9
T;78;S004;3
M;2019.03.31;79;fagylaltos@golden.com
T;79;P011;6
T;79;P005;10
T;79;P009;3
M;2019.03.31;80;majoros@fidesz.gov
T;80;P005;6
T;80;K002;4
T;80;P001;5
T;80;P004;4
M;2019.03.31;81;zoltantoth@golden.com
T;81;B002;10
T;81;N008;9
T;81;B001;4
T;81;S001;10
T;81;P006;2
M;2019.03.31;82;eva2001@golden.com
T;82;P010;4
T;82;B001;3
T;82;B002;8
T;82;P015;9
T;82;B001;10
T;82;N002;7
T;82;P005;1
M;2019.03.31;83;zoltantoth@golden.com
T;83;P012;10
T;83;K004;1
M;2019.03.31;84;erikaszep@freemail.hu
T;84;P004;2
T;84;P011;6
T;84;P014;8
T;84;N006;3
M;2019.03.31;85;eva2001@fidesz.gov
T;85;P005;8
T;85;P008;1
M;2019.03.31;86;erikaszep@gmail.com
T;86;P007;10
T;86;BG01;6
T;86;P013;4
T;86;N004;10
T;86;N005;1
M;2019.03.31;87;eva2001@citromail.hu
T;87;P006;7
T;87;K003;3
T;87;P003;9
T;87;P010;3
M;2019.03.31;88;kisspal@merchant.org
T;88;BG02;4
T;88;N003;9
T;88;P011;9
T;88;P008;10
T;88;BG04;4
M;2019.03.31;89;erikaszep@freemail.hu
T;89;N005;9
T;89;P011;5
T;89;S003;1
M;2019.03.31;90;kisspal@gmail.com
T;90;N008;8
T;90;S003;8
T;90;S002;10
T;90;P006;9
T;90;P006;10
T;90;S003;4
M;2019.03.31;91;szputnyik@citromail.hu
T;91;P006;5
T;91;BG01;8
T;91;N004;2
M;2019.03.31;92;majoros@freemail.hu
T;92;P009;1
M;2019.03.31;93;szputnyik@merchant.org
T;93;S004;6
T;93;P006;1
M;2019.03.31;94;kisspal@citromail.hu
T;94;P011;5
T;94;S001;2
